,acc_ours,acc_yeaz,t1,t2,num_cells1,num_cells2,timediff
331,1.0,1.0,36,44,6,7,40
332,1.0,1.0,36,45,6,7,45
333,1.0,1.0,37,38,6,6,5
334,1.0,1.0,37,39,6,7,10
335,1.0,1.0,37,40,6,7,15
336,1.0,1.0,37,41,6,7,20
337,1.0,1.0,37,42,6,7,25
338,1.0,1.0,37,43,6,7,30
339,1.0,1.0,37,44,6,7,35
340,1.0,1.0,37,45,6,7,40
341,1.0,1.0,37,46,6,7,45
342,1.0,1.0,38,39,6,7,5
343,1.0,1.0,38,40,6,7,10
344,1.0,1.0,38,41,6,7,15
345,1.0,1.0,38,42,6,7,20
346,1.0,1.0,38,43,6,7,25
347,1.0,1.0,38,44,6,7,30
348,1.0,1.0,38,45,6,7,35
349,1.0,1.0,38,46,6,7,40
350,1.0,1.0,38,47,6,7,45
351,1.0,1.0,39,40,7,7,5
352,1.0,1.0,39,41,7,7,10
353,1.0,1.0,39,42,7,7,15
354,1.0,1.0,39,43,7,7,20
355,1.0,1.0,39,44,7,7,25
356,1.0,1.0,39,45,7,7,30
357,1.0,1.0,39,46,7,7,35
358,1.0,1.0,39,47,7,7,40
359,1.0,1.0,39,48,7,8,45
360,1.0,1.0,40,41,7,7,5
361,1.0,1.0,40,42,7,7,10
362,1.0,1.0,40,43,7,7,15
363,1.0,1.0,40,44,7,7,20
364,1.0,1.0,40,45,7,7,25
365,1.0,1.0,40,46,7,7,30
366,1.0,1.0,40,47,7,7,35
367,1.0,1.0,40,48,7,8,40
368,1.0,1.0,40,49,7,8,45
369,1.0,1.0,41,42,7,7,5
370,1.0,1.0,41,43,7,7,10
371,1.0,1.0,41,44,7,7,15
372,1.0,1.0,41,45,7,7,20
373,1.0,1.0,41,46,7,7,25
374,1.0,1.0,41,47,7,7,30
375,1.0,1.0,41,48,7,8,35
376,1.0,1.0,41,49,7,8,40
377,1.0,1.0,41,50,7,8,45
378,1.0,1.0,42,43,7,7,5
379,1.0,1.0,42,44,7,7,10
380,1.0,1.0,42,45,7,7,15
381,1.0,1.0,42,46,7,7,20
382,1.0,1.0,42,47,7,7,25
383,1.0,1.0,42,48,7,8,30
384,1.0,1.0,42,49,7,8,35
385,1.0,1.0,42,50,7,8,40
386,1.0,1.0,42,51,7,8,45
387,1.0,1.0,43,44,7,7,5
388,1.0,1.0,43,45,7,7,10
389,1.0,1.0,43,46,7,7,15
390,1.0,1.0,43,47,7,7,20
391,1.0,1.0,43,48,7,8,25
392,1.0,1.0,43,49,7,8,30
393,1.0,1.0,43,50,7,8,35
394,1.0,1.0,43,51,7,8,40
395,1.0,1.0,43,52,7,8,45
396,1.0,1.0,44,45,7,7,5
397,1.0,1.0,44,46,7,7,10
398,1.0,1.0,44,47,7,7,15
399,1.0,1.0,44,48,7,8,20
400,1.0,1.0,44,49,7,8,25
401,1.0,1.0,44,50,7,8,30
402,1.0,1.0,44,51,7,8,35
403,1.0,1.0,44,52,7,8,40
404,1.0,1.0,44,53,7,8,45
405,1.0,1.0,45,46,7,7,5
406,1.0,1.0,45,47,7,7,10
407,1.0,1.0,45,48,7,8,15
408,1.0,1.0,45,49,7,8,20
409,1.0,1.0,45,50,7,8,25
410,1.0,1.0,45,51,7,8,30
411,1.0,1.0,45,52,7,8,35
412,1.0,1.0,45,53,7,8,40
413,1.0,1.0,45,54,7,8,45
414,1.0,1.0,46,47,7,7,5
415,1.0,1.0,46,48,7,8,10
416,1.0,1.0,46,49,7,8,15
417,1.0,1.0,46,50,7,8,20
418,1.0,1.0,46,51,7,8,25
419,1.0,1.0,46,52,7,8,30
420,1.0,1.0,46,53,7,8,35
421,1.0,1.0,46,54,7,8,40
422,1.0,1.0,46,55,7,8,45
423,1.0,1.0,47,48,7,8,5
424,1.0,1.0,47,49,7,8,10
425,1.0,1.0,47,50,7,8,15
426,1.0,1.0,47,51,7,8,20
427,1.0,1.0,47,52,7,8,25
428,1.0,1.0,47,53,7,8,30
429,1.0,1.0,47,54,7,8,35
430,1.0,1.0,47,55,7,8,40
431,1.0,1.0,47,56,7,8,45
432,1.0,1.0,48,49,8,8,5
433,1.0,1.0,48,50,8,8,10
434,1.0,1.0,48,51,8,8,15
435,1.0,1.0,48,52,8,8,20
436,1.0,1.0,48,53,8,8,25
437,1.0,1.0,48,54,8,8,30
438,1.0,1.0,48,55,8,8,35
439,1.0,1.0,48,56,8,8,40
440,1.0,1.0,48,57,8,8,45
441,1.0,1.0,49,50,8,8,5
442,1.0,1.0,49,51,8,8,10
443,1.0,1.0,49,52,8,8,15
444,1.0,1.0,49,53,8,8,20
445,1.0,1.0,49,54,8,8,25
446,1.0,1.0,49,55,8,8,30
447,1.0,1.0,49,56,8,8,35
448,1.0,1.0,49,57,8,8,40
449,1.0,1.0,49,58,8,8,45
450,1.0,1.0,50,51,8,8,5
451,1.0,1.0,50,52,8,8,10
452,1.0,1.0,50,53,8,8,15
453,1.0,1.0,50,54,8,8,20
454,1.0,1.0,50,55,8,8,25
455,1.0,1.0,50,56,8,8,30
456,1.0,1.0,50,57,8,8,35
457,1.0,1.0,50,58,8,8,40
458,1.0,1.0,50,59,8,8,45
459,1.0,1.0,51,52,8,8,5
460,1.0,1.0,51,53,8,8,10
461,1.0,1.0,51,54,8,8,15
462,1.0,1.0,51,55,8,8,20
463,1.0,1.0,51,56,8,8,25
464,1.0,1.0,51,57,8,8,30
465,1.0,1.0,51,58,8,8,35
466,1.0,1.0,51,59,8,8,40
467,1.0,1.0,51,60,8,8,45
468,1.0,1.0,52,53,8,8,5
469,1.0,1.0,52,54,8,8,10
470,1.0,1.0,52,55,8,8,15
471,1.0,1.0,52,56,8,8,20
472,1.0,1.0,52,57,8,8,25
473,1.0,1.0,52,58,8,8,30
474,1.0,1.0,52,59,8,8,35
475,1.0,1.0,52,60,8,8,40
476,1.0,1.0,52,61,8,8,45
477,1.0,1.0,53,54,8,8,5
478,1.0,1.0,53,55,8,8,10
479,1.0,1.0,53,56,8,8,15
480,1.0,1.0,53,57,8,8,20
481,1.0,1.0,53,58,8,8,25
482,1.0,1.0,53,59,8,8,30
483,1.0,1.0,53,60,8,8,35
484,1.0,1.0,53,61,8,8,40
485,1.0,1.0,53,62,8,8,45
486,1.0,1.0,54,55,8,8,5
487,1.0,1.0,54,56,8,8,10
488,1.0,1.0,54,57,8,8,15
489,1.0,1.0,54,58,8,8,20
490,1.0,1.0,54,59,8,8,25
